guid,title,ASIN,Cart Price,Complete Price,Genre,UPC,Publisher,Release Date
12168,10-Yard Fight,B000FIN2W0,1.99,4.99,Football,45496630270,Nintendo,10/1/85
20126,150 in 1 Cartridge,,51.99,64,Action & Adventure,,,
19412,190 in 1 Cartridge,,157.99,190,Other,,,
12169,1942,B000FE5LMS,4.99,8,Other,21000613595,Capcom,1/1/86
12170,1943: The Battle of Midway,B000E7CT6W,5.99,9,Other,13388110100,Capcom,10/1/88
8445,3-D WorldRunner,B0009JOA1M,2.99,5,Action & Adventure,21481102014,Acclaim,9/1/87
12171,720,B00004SVMA,1.99,4.99,Sports,50047103158,Mindscape,6/1/89
15741,76 in 1 Cartridge,,22.99,29,Other,,,
12172,8 Eyes,B00004SVMB,2.99,6,Action & Adventure,40886308593,"VLM Entertainment, Inc.",
8451,Abadox,B000A40S44,2.99,5,Action & Adventure,32244040887,Nintendo,6/1/90
12173,A Boy and His Blob Trouble on Blobolonia,B000J42FM8,4.99,8,Action & Adventure,47875700130,Absolute Entertainment,1/1/89
8453,Action 52,B002G7INFY,191.99,230,Action & Adventure,7.30669E+11,,
8455,Addams Family,B00004SVMC,5.99,9,Action & Adventure,20295010034,Ocean Inc.,1/1/91
8456,Addams Family Pugsley's Scavenger Hunt,B00004SVTE,16.99,23,Action & Adventure,20295010072,Ocean Inc.,9/1/92
8458,Advanced Dungeons and Dragons Dragon Strike,B00004SVP6,32.99,41,Strategy,22909100155,FCI,6/1/92
8459,Advanced Dungeons and Dragons Heroes of the Lance,B000VOTLUA,8.99,13,Strategy,22909100100,,1/1/90
8460,Advanced Dungeons and Dragons Hillsfar,B00004SVQE,46.99,57,Strategy,22909100162,FCI,6/1/93
8462,Advanced Dungeons and Dragons Pool of Radiance,B00004SVT7,16.99,22,Strategy,22909100131,FCI,12/1/91
8464,Adventure Island,B00004SVME,5.99,9,Action & Adventure,39854000010,Hudson Soft,9/1/88
12176,Adventure Island 3,B00004SVMG,33.99,42,Action & Adventure,39854000195,Hudson Soft,9/1/92
8465,Adventure Island II,B0006TNCIW,9.99,14,Action & Adventure,39854000102,Nintendo,6/1/91
8466,Adventures in the Magic Kingdom,B00004SVMD,1.99,4.99,Action & Adventure,13388110186,Capcom,6/1/90
8468,Adventures of Bayou Billy,B00004SVND,1.99,4.99,Action & Adventure,83717110132,Konami,8/1/88
12119,Adventures of Captain Comic,B000J45TKS,7.99,12,Action & Adventure,96962810016,,
12175,Adventures of Dino Rikki,B000VI6OS8,1.99,4.99,Action & Adventure,,Hudson Soft,9/1/89
11979,Adventures of Lolo,B00004SVMI,4.99,8,Action & Adventure,40458011050,Hal America,
11980,Adventures of Lolo 2,B000E929X8,14.99,20,Action & Adventure,11081040458,Hal America,
8469,Adventures of Lolo 3,B00004SVMH,30.99,39,Puzzle,40458033120,Hal America,9/1/91
8472,Adventures of Tom Sawyer,B000VN5XK8,2.99,5,Action & Adventure,92826198962,Seta USA,8/1/89
12177,After Burner,B00004SVMJ,4.99,7,Other,31763104124,Midway Entertainment,
8488,Air Fortress,B00004SVMK,2.99,6,Other,40458036077,,9/1/89
12178,Airwolf,B000E7BTT0,1.99,4.99,Action & Adventure,9726731069,Acclaim,
16133,Aladdin,,36.99,46,Action & Adventure,,,
8493,Alfred Chicken,B00004SVMM,25.99,33,Action & Adventure,50047113751,Mindscape,2/1/94
8495,Alien 3,B00004SVMN,6.99,10,Action & Adventure,23582051895,LJN,3/1/93
12179,Alien Syndrome,B000FJCTCI,2.99,5,Action & Adventure,31763101123,,
