guid,title
12168,10-Yard Fight
20126,150 in 1 Cartridge
19412,190 in 1 Cartridge
12169,1942
12170,1943: The Battle of Midway
8445,3-D WorldRunner
12171,720
15741,76 in 1 Cartridge
12172,8 Eyes
8451,Abadox
12173,A Boy and His Blob Trouble on Blobolonia
8453,Action 52
8455,Addams Family
8456,Addams Family Pugsley's Scavenger Hunt
8458,Advanced Dungeons and Dragons Dragon Strike
8459,Advanced Dungeons and Dragons Heroes of the Lance
8460,Advanced Dungeons and Dragons Hillsfar
8462,Advanced Dungeons and Dragons Pool of Radiance
8464,Adventure Island
12176,Adventure Island 3
8465,Adventure Island II
8466,Adventures in the Magic Kingdom
8468,Adventures of Bayou Billy
12119,Adventures of Captain Comic
12175,Adventures of Dino Rikki
11979,Adventures of Lolo
11980,Adventures of Lolo 2
8469,Adventures of Lolo 3
8472,Adventures of Tom Sawyer
12177,After Burner
8488,Air Fortress
12178,Airwolf
16133,Aladdin
8493,Alfred Chicken
8495,Alien 3
12179,Alien Syndrome
12180,All-Pro Basketball
12181,Alpha Mission
12182,Altered Beast
8491,Al Unser Turbo Racing
12183,Amagon
8507,American Gladiators
12174,A Nightmare on Elm Street
12184,Anticipation
12186,Archon
12185,Arch Rivals
8527,Arkanoid
16264,Arkista's Ring
8536,Asterix the Gaul
8538,Astyanax
12187,Athena
12188,Athletic World
8541,Attack of the Killer Tomatoes
16128,Aussie Rules Footy
12189,Baby Boomer
12190,Back to the Future
12191,Back to the Future II and III
12192,Bad Dudes
12193,Bad News Baseball
12194,Bad Street Brawler
11981,Balloon Fight
16131,Banana Prince
12195,Bandai Golf Challenge Pebble Beach
13109,Bandit Kings of Ancient China
8554,Barbie
8559,Bard's Tale
8560,Barker Bill's Trick Shooting
11982,Baseball
13843,Baseball Simulator 1.000
12198,Baseball Stars
8562,Baseball Stars 2
8564,Bases Loaded
8565,Bases Loaded 2 Second Season
12199,Bases Loaded 3
8566,Bases Loaded 4
8570,Batman Beyond Return Of The Joker
8574,Batman Returns
13844,Batman The Video Game
12200,Battle Chess
12201,Battle of Olympus
8582,Battleship
12202,Battletank
8586,Battletoads
8588,Battletoads and Double Dragon
8593,Beauty and the Beast
12203,Bee 52
12204,BeetleJuice
8600,Best of the Best Championship Karate
8603,Bible Adventures
12205,Bible Buffet
12206,Bigfoot
12106,Big Nose Freaks Out
16129,Big Nose the Caveman
8606,Bill and Ted's Excellent Video Game
8607,Bill Elliott's NASCAR Challenge
12107,Bionic Commando
12108,Black Bass
12109,Blackjack
8614,Blades of Steel
12110,Blaster Master
8625,Blue Marlin
8627,Blues Brothers
8628,Bo Jackson Baseball
12111,Bomberman
8632,Bomberman II
8636,Bonk's Adventure
12112,Boulder Dash
8643,Bram Stoker's Dracula
12113,BreakThru
8645,Break Time The National Pool Tour
14930,Bubble Bath Babes
11983,Bubble Bobble
8654,Bubble Bobble Part 2
8658,Bucky O'Hare
8661,Bugs Bunny Birthday Blowout
8662,Bugs Bunny Crazy Castle
12114,Bump 'n' Jump
12115,Burai Fighter
12116,Burgertime
8673,Buster Bros
12117,Cabal
8683,Caesar's Palace
12118,California Games
8687,California Raisins The Great Escape
14928,Caltron 6-in-1
8695,Captain America and the Avengers
8696,Captain Planet and the Planeteers
12120,Captain Skyhawk
12121,Casino Kid
8701,Casino Kid II
8702,Castelian
12122,Castle of Deceit
12123,Castle of Dragon
12124,Castlequest
8704,Castlevania
8706,Castlevania III Dracula's Curse
11984,Castlevania II Simon's Quest
12126,Caveman Games
16130,Challenge of the Dragon
8713,Championship Bowling
8714,Championship Pool
16135,Championship Rally
14927,Cheetahmen II
8722,Chessmaster
8729,Chiller
12127,Chip and Dale Rescue Rangers
8730,Chip and Dale Rescue Rangers 2
12128,Chubby Cherub
12129,Circus Caper
12130,City Connection
12131,Clash at Demonhead
12132,Classic Concentration
8738,Cliffhanger
12133,Clu Clu Land
12134,Cobra Command
8743,Cobra Triangle
8747,Code Name Viper
8753,Color A Dinosaur
12135,Commando
12136,Conan the Mysteries of Time
12137,Conflict
12138,Conquest of the Crystal Palace
12139,Contra
12140,Contra Force
8764,Cool World
12142,Cowboy Kid
12143,Crash 'n' the Boys: Street Challenge
12144,Crystalis
8786,Crystal Mines
8794,Cyberball
8796,Cybernoid The Fighting Machine
12145,Cyberstadium Series Base Wars
8801,Dance Aerobics
8804,Danny Sullivan's Indy Heat
8808,Darkman
8810,Darkwing Duck
12146,Dash Galaxy in the Alien Asylum
8817,Day Dreaming Davey
8818,Days Of Thunder
12147,Deadly Towers
12149,Deathbots
12148,Death Race
12150,Defender II
12151,Defender of the Crown
8836,Defenders of Dynatron City
12152,Deja Vu
12153,Demon Sword
12154,Desert Commander
12155,Destination Earthstar
12156,Destiny of an Emperor
16134,Devil World
12157,Dick Tracy
8841,Die Hard
12158,Dig Dug
12159,Dig Dug II
12160,Digger T Rock
12161,Dirty Harry
21555,Dogbone Controller
11985,Donkey Kong
12163,Donkey Kong 3
12164,Donkey Kong Classics
11986,Donkey Kong Jr
11987,Donkey Kong Jr Math
12167,Double Dare
12207,Double Dragon
12208,Double Dragon II
12209,Double Dragon III
11988,Double Dribble
12210,Double Strike
8864,Dragon Fighter
12213,Dragon Power
12217,Dragon's Lair the Legend
12214,Dragon Spirit
12216,Dragon Warrior
12215,Dragon Warrior II
8868,Dragon Warrior III
8869,Dragon Warrior IV
12211,Dr Chaos
12212,Dr Jekyl and Mr Hyde
8859,Dr. Mario
16132,Dropzone
12218,Duck Hunt
30823,Duck Maze
12219,Duck Tales
8878,Duck Tales 2
12220,Dudes with Attitude
12221,Dungeon Magic
12222,Dusty Diamond's All-Star Softball
8889,Dynowarz The Destruction of Spondylus
11989,Elevator Action
8906,Eliminator Boat Duel
30844,Elite
11990,Excitebike
12223,Exodus Journey to the Promised Land
8928,F-117A Stealth Fighter
19760,F-15 City War
8929,F-15 Strike Eagle
8935,Family Feud
12224,Family Fun Fitness Stadium Events
20424,Family Fun Fitness Stadium Events PAL
12225,Fantastic Adventures of Dizzy
12226,Fantasy Zone
8939,Faria
12227,Fast Break
12228,Fatal Fury Special
13717,Faxanadu
8948,Felix the Cat
8949,Ferrari Grand Prix Challenge
8950,Fester's Quest
8970,Final Fantasy
12229,Firehawk
8975,Fire 'N Ice
8976,Fisher-Price Firehouse Rescue
12230,Fisher Price I Can Remember
12231,Fisher Price Perfect Fit
12232,Fist of the North Star
8981,Flight of the Intruder
13107,Flintstones Surprise at Dino Peak
8983,Flintstones The Rescue of Dino and Hoppy
12234,Flying Dragon
12235,Flying Warriors
14550,Formula One Built To Win
12236,Frankenstein the Monster Returns
12237,Freedom Force
12238,Friday the 13th
12239,Fun House
32330,Galactic Crusader
11991,Galaga: Demons of Death
12242,Galaxy 5000
13192,Game Genie
9012,Gargoyle's Quest II The Demon Darkness
12243,Gauntlet
9013,Gauntlet II
9018,Gemfire
12244,Genghis Khan
9025,George Foreman's KO Boxing
12245,Ghostbusters
9032,Ghostbusters II
9029,Ghost Lion
11992,Ghosts 'n Goblins
9033,Ghoul School
12240,G.I. Joe: A Real American Hero
9034,GI Joe The Atlantis Factor
12247,Gilligan's Island
12248,Goal
9039,Goal 2
12249,Godzilla
9042,Godzilla 2 War of the Monsters
9045,Gold Medal Challenge '92
9050,Golf
9051,Golf Grand Slam
12250,Golgo 13 Top Secret Episode
12251,Gotcha
11993,Gradius
9063,Great Waldo Search
9068,Greg Norman's Golf Power
12252,Gremlins 2
12253,Guerrilla War
12254,Gumshoe
12255,Gun-Nac
12256,Gun.Smoke
12257,Gyromite
12258,Gyruss
16172,Hammerin Harry PAL
12259,Harlem Globetrotters
9097,Hatris
12260,Heavy Barrel
12261,Heavy Shreddin'
21045,HES Real Player's Pack
9109,High Speed
9113,Hit the Ice
12262,Hogan's Alley
9115,Hollywood Squares
9117,Home Alone
9119,Home Alone 2 Lost In New York
30819,Honey Peach
9121,Hook
12263,Hoops
14931,Hot Slots
9132,Hudson Hawk
9133,Hunt for Red October
12264,Hydlide
11994,Ice Climber
11995,Ice Hockey
12265,Ikari Warriors
12266,Ikari Warriors II
12267,Ikari Warriors III: The Rescue
12268,Image Fight
9138,Immortal
12269,Impossible Mission II
9143,Incredible Crash Dummies
12270,Indiana Jones and the Last Crusade
30748,Indiana Jones and the Last Crusade Ubisoft
