uid,Product Name,Genre,UPC,ASIN,Release Date,Publisher,Sell Game Price,Sell Complete Price
12168,10-Yard Fight,Football,45496630270,B000FIN2W0,10/1/85,Nintendo,1.99,4.99
20126,150 in 1 Cartridge,Action & Adventure,,,,,51.99,64
19412,190 in 1 Cartridge,Other,,,,,157.99,190
12169,1942,Other,21000613595,B000FE5LMS,1/1/86,Capcom,4.99,8
12170,1943: The Battle of Midway,Other,13388110100,B000E7CT6W,10/1/88,Capcom,5.99,9
8445,3-D WorldRunner,Action & Adventure,21481102014,B0009JOA1M,9/1/87,Acclaim,2.99,5
12171,720,Sports,50047103158,B00004SVMA,6/1/89,Mindscape,1.99,4.99
15741,76 in 1 Cartridge,Other,,,,,22.99,29
12172,8 Eyes,Action & Adventure,40886308593,B00004SVMB,,"VLM Entertainment, Inc.",2.99,6
8451,Abadox,Action & Adventure,32244040887,B000A40S44,6/1/90,Nintendo,2.99,5
12173,A Boy and His Blob Trouble on Blobolonia,Action & Adventure,47875700130,B000J42FM8,1/1/89,Absolute Entertainment,4.99,8
8453,Action 52,Action & Adventure,7.30669E+11,B002G7INFY,,,191.99,230
8455,Addams Family,Action & Adventure,20295010034,B00004SVMC,1/1/91,Ocean Inc.,5.99,9
8456,Addams Family Pugsley's Scavenger Hunt,Action & Adventure,20295010072,B00004SVTE,9/1/92,Ocean Inc.,16.99,23
8458,Advanced Dungeons and Dragons Dragon Strike,Strategy,22909100155,B00004SVP6,6/1/92,FCI,32.99,41
8459,Advanced Dungeons and Dragons Heroes of the Lance,Strategy,22909100100,B000VOTLUA,1/1/90,,8.99,13
8460,Advanced Dungeons and Dragons Hillsfar,Strategy,22909100162,B00004SVQE,6/1/93,FCI,46.99,57
8462,Advanced Dungeons and Dragons Pool of Radiance,Strategy,22909100131,B00004SVT7,12/1/91,FCI,16.99,22
8464,Adventure Island,Action & Adventure,39854000010,B00004SVME,9/1/88,Hudson Soft,5.99,9
12176,Adventure Island 3,Action & Adventure,39854000195,B00004SVMG,9/1/92,Hudson Soft,33.99,42
8465,Adventure Island II,Action & Adventure,39854000102,B0006TNCIW,6/1/91,Nintendo,9.99,14
8466,Adventures in the Magic Kingdom,Action & Adventure,13388110186,B00004SVMD,6/1/90,Capcom,1.99,4.99
8468,Adventures of Bayou Billy,Action & Adventure,83717110132,B00004SVND,8/1/88,Konami,1.99,4.99
12119,Adventures of Captain Comic,Action & Adventure,96962810016,B000J45TKS,,,7.99,12
12175,Adventures of Dino Rikki,Action & Adventure,,B000VI6OS8,9/1/89,Hudson Soft,1.99,4.99
11979,Adventures of Lolo,Action & Adventure,40458011050,B00004SVMI,,Hal America,4.99,8
11980,Adventures of Lolo 2,Action & Adventure,11081040458,B000E929X8,,Hal America,14.99,20
8469,Adventures of Lolo 3,Puzzle,40458033120,B00004SVMH,9/1/91,Hal America,30.99,39
8472,Adventures of Tom Sawyer,Action & Adventure,92826198962,B000VN5XK8,8/1/89,Seta USA,2.99,5
12177,After Burner,Other,31763104124,B00004SVMJ,,Midway Entertainment,4.99,7
8488,Air Fortress,Other,40458036077,B00004SVMK,9/1/89,,2.99,6
12178,Airwolf,Action & Adventure,9726731069,B000E7BTT0,,Acclaim,1.99,4.99
16133,Aladdin,Action & Adventure,,,,,36.99,46
8493,Alfred Chicken,Action & Adventure,50047113751,B00004SVMM,2/1/94,Mindscape,25.99,33
8495,Alien 3,Action & Adventure,23582051895,B00004SVMN,3/1/93,LJN,6.99,10
12179,Alien Syndrome,Action & Adventure,31763101123,B000FJCTCI,,,2.99,5
12180,All-Pro Basketball,Basketball,34912784598,B000QY8V9W,,"Vic Tokai, Inc.",1.99,4.99
12181,Alpha Mission,Action & Adventure,18484145001,B000G9XISG,10/1/87,SNK,1.99,5
12182,Altered Beast,Action & Adventure,4.75E+11,B000EUN99K,,,81.99,100
8491,Al Unser Turbo Racing,Racing,13252002128,B00004SVML,6/1/88,Data East,1.99,4.99
12183,Amagon,Action & Adventure,39471885021,B000FT330A,4/1/89,Sammy,1.99,4.99
8507,American Gladiators,Sports,43948511009,B00004SVMO,10/1/91,GT Interactive,2.99,6
12174,A Nightmare on Elm Street,Action & Adventure,23582051598,B000GDXEBS,10/1/90,LJN,14.99,20
12184,Anticipation,Action & Adventure,6121731069,B000E7BOE0,11/1/88,Rare,1.99,4.99
12186,Archon,Action & Adventure,7.31069E+11,B000E7FATU,12/1/89,Broderbund,3.99,7
12185,Arch Rivals,Basketball,21481104018,B00004SVMQ,11/1/90,LJN,1.99,4.99
8527,Arkanoid,Action & Adventure,45496830632,B00004SVMR,12/1/87,,4.99,8
16264,Arkista's Ring,Action & Adventure,39471885069,B00004SVMS,,,12.99,18
8536,Asterix the Gaul,Action & Adventure,99451529932,B00004SVMT,2/1/94,Electro Brain Corp.,61.99,75
8538,Astyanax,Action & Adventure,32264900116,B00004SVMU,12/1/90,Jaleco,2.99,6
12187,Athena,Action & Adventure,91199005129,B00076QE70,,SNK,5.99,9
12188,Athletic World,Sports,45557077006,B00004SVMV,1/1/87,Bandai,1.99,4.99
8541,Attack of the Killer Tomatoes,Action & Adventure,7.19575E+11,B00004SVMW,12/1/92,THQ,11.99,16
16128,Aussie Rules Footy,Sports,,,,,26.99,34
12189,Baby Boomer,Action & Adventure,96962710019,B000Q7XA86,,Color Dreams,39.99,49
12190,Back to the Future,Action & Adventure,23582051673,B00004SVMX,9/1/89,LJN,2.99,5
12191,Back to the Future II and III,Action & Adventure,4.7311E+11,B00115L8AE,1/1/90,,4.99,8
12192,Bad Dudes,Action & Adventure,13252002159,B00004SVMY,12/1/89,Data East,1.99,4.99
